season,roof_norm,attempts,makes,avg_dist,fg_pct
2015,indoor,248,207,38.350806451612904,0.8346774193548387
2015,outdoor,782,669,38.03580562659847,0.8554987212276215
2016,indoor,260,221,38.573076923076925,0.85
2016,outdoor,786,667,37.42875318066158,0.8486005089058524
2017,indoor,254,219,39.196850393700785,0.8622047244094488
2017,outdoor,806,677,37.81885856079405,0.8399503722084367
2018,indoor,236,196,38.63559322033898,0.8305084745762712
2018,outdoor,752,638,38.557180851063826,0.848404255319149
2019,indoor,234,198,37.68376068376068,0.8461538461538461
2019,outdoor,780,633,38.26282051282051,0.8115384615384615
